persilpasifid,nilai,tipehak,luas,tahun,nib,alatukur,nomor,akurasibidang,sample_source,sample_lon,sample_lat,kecamatan_id,kecamatan_nama,kelurahan_id,kelurahan_nama,geometry_hash,dedup_keys,source_key
1098b98972a44e20a93fda4db05b7925,,Hak Milik,1068,2004,01278,,10143415100113,,SOREANG,107.5154037,-7.0280582,320437,,3204372001,SOREANG,246d6814129a0323e6c1471687cc8e16,"['nib:01278', 'persilpasifid:1098b98972a44e20a93fda4db05b7925', 'nomor:10143415100113', 'geometry:246d6814129a0323e6c1471687cc8e16']",nib:01278
0D08E4C1526FCA51E063B416140A776A,,Kosong,249,,,,,0.5,SOREANG,107.5151881,-7.0276303,320437,,3204372001,SOREANG,060c87d78c5ad1b43906b0bac143db30,"['persilpasifid:0d08e4c1526fca51e063b416140a776a', 'geometry:060c87d78c5ad1b43906b0bac143db30']",persilpasifid:0d08e4c1526fca51e063b416140a776a
c92237977c1e4d75898a8065de6cc2ec,,Hak Milik,1955,1982,01416,,10143415100240,,SOREANG,107.5156193,-7.0280582,320437,,3204372001,SOREANG,67fe3196ceabc9167f1dc2855f0b58c4,"['nib:01416', 'persilpasifid:c92237977c1e4d75898a8065de6cc2ec', 'nomor:10143415100240', 'geometry:67fe3196ceabc9167f1dc2855f0b58c4']",nib:01416
0D08E4C15261CA51E063B416140A776A,,Kosong,257,,,,,0.5,SOREANG,107.5154037,-7.0276303,320437,,3204372001,SOREANG,762b0a67a652159ccf8fad47713ec9f3,"['persilpasifid:0d08e4c15261ca51e063b416140a776a', 'geometry:762b0a67a652159ccf8fad47713ec9f3']",persilpasifid:0d08e4c15261ca51e063b416140a776a
0D08E4C16C3DFDB8E063B516140A7B6D,,Kosong,71,,,,,0.5,SOREANG,107.5154037,-7.0276303,320437,,3204372001,SOREANG,8b7fc33d4aed8f756739165d3d534593,"['persilpasifid:0d08e4c16c3dfdb8e063b516140a7b6d', 'geometry:8b7fc33d4aed8f756739165d3d534593']",persilpasifid:0d08e4c16c3dfdb8e063b516140a7b6d
528460FB37391D49E053141D0B0AF969,,Hak Milik,512,2017,04472,,10143401102444,,SOREANG,107.5288348,-7.0351869,320437,,3204372001,SOREANG,ee4e061f8eeae7fa34e3ad8d12e62de0,"['nib:04472', 'persilpasifid:528460fb37391d49e053141d0b0af969', 'nomor:10143401102444', 'geometry:ee4e061f8eeae7fa34e3ad8d12e62de0']",nib:04472
0D1BC3C0C4B77E45E063B516140ABF5A,,Kosong,2109,,,,,0.5,SOREANG,107.5288348,-7.0351869,320437,,3204372001,SOREANG,cc57351688a56b12069679d439768217,"['persilpasifid:0d1bc3c0c4b77e45e063b516140abf5a', 'geometry:cc57351688a56b12069679d439768217']",persilpasifid:0d1bc3c0c4b77e45e063b516140abf5a
0D08E4C29B0ACA53E063B416140A3E1A,,Kosong,212,,,,,0.5,SOREANG,107.5151881,-7.0272023,320437,,3204372001,SOREANG,acd843274ad81ec02aecbb899fd61aa1,"['persilpasifid:0d08e4c29b0aca53e063b416140a3e1a', 'geometry:acd843274ad81ec02aecbb899fd61aa1']",persilpasifid:0d08e4c29b0aca53e063b416140a3e1a
9ab001da21374c8cb734b6e901d1a7db,,Hak Milik,309,2019,02144,,10143401100969,,SOREANG,107.5151881,-7.0272023,320437,,3204372001,SOREANG,7a9ce0761d5ed7d38c0ea692269fde5b,"['nib:02144', 'persilpasifid:9ab001da21374c8cb734b6e901d1a7db', 'nomor:10143401100969', 'geometry:7a9ce0761d5ed7d38c0ea692269fde5b']",nib:02144
0D08E4C23C16FDD7E063B516140AABDF,,Kosong,125,,,,,0.5,SOREANG,107.5151881,-7.0272023,320437,,3204372001,SOREANG,c485d121a00ceb2be150a2fce1028440,"['persilpasifid:0d08e4c23c16fdd7e063b516140aabdf', 'geometry:c485d121a00ceb2be150a2fce1028440']",persilpasifid:0d08e4c23c16fdd7e063b516140aabdf
