persilpasifid,nilai,tipehak,luas,tahun,nib,alatukur,nomor,akurasibidang,sample_source,sample_lon,sample_lat,kecamatan_id,kecamatan_nama,kelurahan_id,kelurahan_nama,geometry_hash,dedup_keys,source_key
7E48351A31A5E732E0530C1D140A56F4,,Hak Guna Bangunan,51200,2019,02738,,10141501300251,,Arjasari,107.5915143,-7.0300049,320416,Arjasari,,,4ea87e1ed7875e3673ea9f4b8a091e96,"['nib:02738', 'persilpasifid:7e48351a31a5e732e0530c1d140a56f4', 'nomor:10141501300251', 'geometry:4ea87e1ed7875e3673ea9f4b8a091e96']",nib:02738
46E94121BE1B896CE053141D0B0A7F52,,Kosong,4589,,03312,,,,Arjasari,107.5915143,-7.038118,320416,Arjasari,,,bd45644d1015c19209b76fdeca04a34d,"['nib:03312', 'persilpasifid:46e94121be1b896ce053141d0b0a7f52', 'geometry:bd45644d1015c19209b76fdeca04a34d']",nib:03312
EAD67D75EFEB1A4FE0530C1D140A4D96,,Kosong,413,,,,,,Arjasari,107.5921431,-7.0443588,320416,Arjasari,,,981ee126ca557b5760c7da68ee57ee16,"['persilpasifid:ead67d75efeb1a4fe0530c1d140a4d96', 'geometry:981ee126ca557b5760c7da68ee57ee16']",persilpasifid:ead67d75efeb1a4fe0530c1d140a4d96
2f4a8ece8ea04334be603e8749a067cd,,Hak Guna Bangunan,14408,2008,01627,,10141702300014,,Arjasari,107.5915143,-7.0374939,320416,Arjasari,,,6a1eac4e4a5ceb4e0856c962a1574822,"['nib:01627', 'persilpasifid:2f4a8ece8ea04334be603e8749a067cd', 'nomor:10141702300014', 'geometry:6a1eac4e4a5ceb4e0856c962a1574822']",nib:01627
F6099317048E8578E043031D0B0AB590,,Hak Pakai,2000000,1980,,,10141706400001,,Arjasari,107.6469057,-7.0692623,320416,Arjasari,,,ab54d4cd3f1265d16fff8c6095ee0e46,"['persilpasifid:f6099317048e8578e043031d0b0ab590', 'nomor:10141706400001', 'geometry:ab54d4cd3f1265d16fff8c6095ee0e46']",persilpasifid:f6099317048e8578e043031d0b0ab590
3ca2210b32e7468e9d303696a9f1ac4c,,Hak Pakai,9610,2014,01518,,10141702400001,,Arjasari,107.5921431,-7.0418625,320416,Arjasari,,,7fd46f15570718d36e5458bab0a33946,"['nib:01518', 'persilpasifid:3ca2210b32e7468e9d303696a9f1ac4c', 'nomor:10141702400001', 'geometry:7fd46f15570718d36e5458bab0a33946']",nib:01518
47130AA4173BB6AAE053141D0B0A375F,,Hak Guna Bangunan,3083,2020,03315,,10141302301145,,Arjasari,107.5915143,-7.0368699,320416,Arjasari,,,8c7c56ddaaf21b06ca749ca792324443,"['nib:03315', 'persilpasifid:47130aa4173bb6aae053141d0b0a375f', 'nomor:10141302301145', 'geometry:8c7c56ddaaf21b06ca749ca792324443']",nib:03315
a1134c77e0b544e680089f7f6ed2d028,,Hak Guna Bangunan,11794,2008,01628,,10141702300015,,Arjasari,107.5921431,-7.0374939,320416,Arjasari,,,fc2a194a9dd5c15fcfa12ab274c91e97,"['nib:01628', 'persilpasifid:a1134c77e0b544e680089f7f6ed2d028', 'nomor:10141702300015', 'geometry:fc2a194a9dd5c15fcfa12ab274c91e97']",nib:01628
ed31a1617a854c0298b3b097f605a2e9,,Hak Milik,19090,1974,,,10141702100008,,Arjasari,107.5921431,-7.0406143,320416,Arjasari,,,20d8f24f87dfaa622153df4f2d5975b1,"['persilpasifid:ed31a1617a854c0298b3b097f605a2e9', 'nomor:10141702100008', 'geometry:20d8f24f87dfaa622153df4f2d5975b1']",persilpasifid:ed31a1617a854c0298b3b097f605a2e9
516dbb791aaa43268504ba2bbd9204aa,,Hak Milik,2700,1974,,,10141702100011,,Arjasari,107.5921431,-7.0393662,320416,Arjasari,,,8a8c8366cc197bed58dce385eebd62db,"['persilpasifid:516dbb791aaa43268504ba2bbd9204aa', 'nomor:10141702100011', 'geometry:8a8c8366cc197bed58dce385eebd62db']",persilpasifid:516dbb791aaa43268504ba2bbd9204aa
7f9e5a8def454c94a37552aeb5bdfba1,,Hak Guna Bangunan,9164,2008,01630,,10141702300017,,Arjasari,107.5921431,-7.0356217,320416,Arjasari,,,cfbcfed7176fbe4c47dfeca2175a78d5,"['nib:01630', 'persilpasifid:7f9e5a8def454c94a37552aeb5bdfba1', 'nomor:10141702300017', 'geometry:cfbcfed7176fbe4c47dfeca2175a78d5']",nib:01630
72753058fcb449aa8e916e6538e394a0,,Hak Guna Bangunan,3980,2008,01625,,10141702300012,,Arjasari,107.5921431,-7.0387421,320416,Arjasari,,,b943337479f0503dfc82d43c6f7616fb,"['nib:01625', 'persilpasifid:72753058fcb449aa8e916e6538e394a0', 'nomor:10141702300012', 'geometry:b943337479f0503dfc82d43c6f7616fb']",nib:01625
b07b0b3330f64c7d90abf05330eab5ea,,Hak Guna Bangunan,12720,2008,01629,,10141702300016,,Arjasari,107.5921431,-7.0362458,320416,Arjasari,,,8e79c60dca17e88d6e3b15718db112c4,"['nib:01629', 'persilpasifid:b07b0b3330f64c7d90abf05330eab5ea', 'nomor:10141702300016', 'geometry:8e79c60dca17e88d6e3b15718db112c4']",nib:01629
2fb3ed65ed144eeebd9f42304e9b4ca2,,Hak Milik,3262,2001,,,10141701100657,,Arjasari,107.5921431,-7.0325012,320416,Arjasari,,,691ad17ce9678fc2f6bc3b0e0fde7275,"['persilpasifid:2fb3ed65ed144eeebd9f42304e9b4ca2', 'nomor:10141701100657', 'geometry:691ad17ce9678fc2f6bc3b0e0fde7275']",persilpasifid:2fb3ed65ed144eeebd9f42304e9b4ca2
3e002a855acd4578a864c56b7ca972b2,,Hak Milik,1600,1995,,,10141702100245,,Arjasari,107.5921431,-7.0431107,320416,Arjasari,,,cd4f558289f45375d7cfc4a36b4c975f,"['persilpasifid:3e002a855acd4578a864c56b7ca972b2', 'nomor:10141702100245', 'geometry:cd4f558289f45375d7cfc4a36b4c975f']",persilpasifid:3e002a855acd4578a864c56b7ca972b2
afe762d423f04184a65c0113a3dc959e,,Hak Milik,2587,1974,00024,,10141702100009,,Arjasari,107.5927719,-7.0412384,320416,Arjasari,,,d41aad7eb3b6a566c03f449344e46f92,"['nib:00024', 'persilpasifid:afe762d423f04184a65c0113a3dc959e', 'nomor:10141702100009', 'geometry:d41aad7eb3b6a566c03f449344e46f92']",nib:00024
68be8cd3703e474bbc38d91c7daa76a7,,Hak Guna Bangunan,13511,2008,01626,,10141702300013,,Arjasari,107.5927719,-7.038118,320416,Arjasari,,,9ca261da1814cd078ee50f0c93c716b4,"['nib:01626', 'persilpasifid:68be8cd3703e474bbc38d91c7daa76a7', 'nomor:10141702300013', 'geometry:9ca261da1814cd078ee50f0c93c716b4']",nib:01626
2d67bfcc87a641a69a956cbde0de76d5,,Hak Milik,9590,1980,01760,,10141702100049,,Arjasari,107.5921431,-7.0349976,320416,Arjasari,,,d364b2c49f8780212aca5760cb6f2d04,"['nib:01760', 'persilpasifid:2d67bfcc87a641a69a956cbde0de76d5', 'nomor:10141702100049', 'geometry:d364b2c49f8780212aca5760cb6f2d04']",nib:01760
aefa434a4e014af5bc8481c4029d935b,,Hak Milik,1965,2019,01673,,10141702100262,,Arjasari,107.5921431,-7.0349976,320416,Arjasari,,,329084d8a8e36b9a83e8a66441b1ba39,"['nib:01673', 'persilpasifid:aefa434a4e014af5bc8481c4029d935b', 'nomor:10141702100262', 'geometry:329084d8a8e36b9a83e8a66441b1ba39']",nib:01673
EB3982A917F4A5D3E0530C1D140A6EFA,,Hak Milik,174,2022,,GPS Geodetic,10141702101125,,Arjasari,107.5921431,-7.0343735,320416,Arjasari,,,93c27f96d77bbe0a5ce8fd53b4fd43de,"['persilpasifid:eb3982a917f4a5d3e0530c1d140a6efa', 'nomor:10141702101125', 'geometry:93c27f96d77bbe0a5ce8fd53b4fd43de']",persilpasifid:eb3982a917f4a5d3e0530c1d140a6efa
EB3A12769D8722FAE0530B1D140A9369,,Hak Milik,75,2022,,GPS Geodetic,10141702101485,,Arjasari,107.5927719,-7.0424866,320416,Arjasari,,,e2bf7868d603cbde507fc6c02da7624d,"['persilpasifid:eb3a12769d8722fae0530b1d140a9369', 'nomor:10141702101485', 'geometry:e2bf7868d603cbde507fc6c02da7624d']",persilpasifid:eb3a12769d8722fae0530b1d140a9369
f55ff562de9c44b38ff411f11f09e279,,Hak Milik,4100,2000,01497,,10141302100417,,Arjasari,107.5915143,-7.0362458,320416,Arjasari,,,47f06667074f41b67a3ca686c77a85cb,"['nib:01497', 'persilpasifid:f55ff562de9c44b38ff411f11f09e279', 'nomor:10141302100417', 'geometry:47f06667074f41b67a3ca686c77a85cb']",nib:01497
2F90231984B6E3FCE053021D0B0AEE7A,,Hak Milik,667,1974,,,10141702100014,,Arjasari,107.5927719,-7.0393662,320416,Arjasari,,,5bce6c3ddb9f9e06fcef89972fbffb83,"['persilpasifid:2f90231984b6e3fce053021d0b0aee7a', 'nomor:10141702100014', 'geometry:5bce6c3ddb9f9e06fcef89972fbffb83']",persilpasifid:2f90231984b6e3fce053021d0b0aee7a
