persilpasifid,nilai,tipehak,luas,tahun,nib,alatukur,nomor,akurasibidang,sample_source,sample_lon,sample_lat,kecamatan_id,kecamatan_nama,kelurahan_id,kelurahan_nama,geometry_hash,dedup_keys,source_key
FE77B1B2C2A376CCE0530C1D140A9A0E,,Hak Guna Bangunan,6097,2023,,,10141703301317,,BAROS,107.6221617,-7.0540158,320416,,3204162005,BAROS,99c2158602e5c561565bc80c79b9d8fb,"['persilpasifid:fe77b1b2c2a376cce0530c1d140a9a0e', 'nomor:10141703301317', 'geometry:99c2158602e5c561565bc80c79b9d8fb']",persilpasifid:fe77b1b2c2a376cce0530c1d140a9a0e
2DD5998B849B17A3E063B516140ADC47,,Hak Guna Bangunan,10543,2025,,,10141703302088,,BAROS,107.6234193,-7.0546399,320416,,3204162005,BAROS,e98e1e752e7168aa3644268200b625d5,"['persilpasifid:2dd5998b849b17a3e063b516140adc47', 'nomor:10141703302088', 'geometry:e98e1e752e7168aa3644268200b625d5']",persilpasifid:2dd5998b849b17a3e063b516140adc47
72492B6784D34236E053141D0B0A93EA,,Hak Milik,1584,2018,03637,Meteran,10141703101071,,BAROS,107.6284499,-7.0546399,320416,,3204162005,BAROS,c243964a776b4c8247a507acd3f756da,"['nib:03637', 'persilpasifid:72492b6784d34236e053141d0b0a93ea', 'nomor:10141703101071', 'geometry:c243964a776b4c8247a507acd3f756da']",nib:03637
72492B6784D14236E053141D0B0A93EA,,Hak Milik,1803,2018,03635,Meteran,10141703101109,,BAROS,107.6290787,-7.0546399,320416,,3204162005,BAROS,a9817781068124c760b6bc9a683e065d,"['nib:03635', 'persilpasifid:72492b6784d14236e053141d0b0a93ea', 'nomor:10141703101109', 'geometry:a9817781068124c760b6bc9a683e065d']",nib:03635
0734EEF2477B7B01E063B416140AF38B,,Kosong,54300,,,,,0.5,BAROS,107.6309652,-7.0583842,320416,,3204162005,BAROS,7e9fdd6369f4e6f196efad81340a11d5,"['persilpasifid:0734eef2477b7b01e063b416140af38b', 'geometry:7e9fdd6369f4e6f196efad81340a11d5']",persilpasifid:0734eef2477b7b01e063b416140af38b
9EE9F62C75B8D651E0530B1D140A7575,,Hak Guna Bangunan,3152,2020,,,10141703301084,,BAROS,107.631594,-7.0577602,320416,,3204162005,BAROS,2ab8c14e8b792997f1eb8661edac20f5,"['persilpasifid:9ee9f62c75b8d651e0530b1d140a7575', 'nomor:10141703301084', 'geometry:2ab8c14e8b792997f1eb8661edac20f5']",persilpasifid:9ee9f62c75b8d651e0530b1d140a7575
7079690C16CD6B02E053031D0B0AD00E,,Hak Milik,4864,2018,02880,Meteran,10141703101356,,BAROS,107.6328516,-7.0621285,320416,,3204162005,BAROS,17d3a37280fa58eac38cdbaffbecbe8b,"['nib:02880', 'persilpasifid:7079690c16cd6b02e053031d0b0ad00e', 'nomor:10141703101356', 'geometry:17d3a37280fa58eac38cdbaffbecbe8b']",nib:02880
72D608B6E9342BC6E053141D0B0A7C6F,,Kosong,657,,04002,,,,BAROS,107.6328516,-7.0608804,320416,,3204162005,BAROS,5961ab2df5da434a152fcebdb29f7bf0,"['nib:04002', 'persilpasifid:72d608b6e9342bc6e053141d0b0a7c6f', 'geometry:5961ab2df5da434a152fcebdb29f7bf0']",nib:04002
7079690C16CC6B02E053031D0B0AD00E,,Hak Milik,1819,2018,02879,Meteran,10141703102442,,BAROS,107.6334805,-7.0615045,320416,,3204162005,BAROS,8d6c0097b99469950283f8cfdf52c8ac,"['nib:02879', 'persilpasifid:7079690c16cc6b02e053031d0b0ad00e', 'nomor:10141703102442', 'geometry:8d6c0097b99469950283f8cfdf52c8ac']",nib:02879
7079690C16CF6B02E053031D0B0AD00E,,Hak Milik,1492,2018,02882,Meteran,10141703100758,,BAROS,107.6328516,-7.0615045,320416,,3204162005,BAROS,f0aa15a91417d61b823a506c93ea466e,"['nib:02882', 'persilpasifid:7079690c16cf6b02e053031d0b0ad00e', 'nomor:10141703100758', 'geometry:f0aa15a91417d61b823a506c93ea466e']",nib:02882
aa5fd4f6261540f4836b688b1a5b2235,,Hak Milik,3760,2000,01177,,10141703100115,,BAROS,107.6353669,-7.0646247,320416,,3204162005,BAROS,351fa805876fde92a3933740cb3a51b6,"['nib:01177', 'persilpasifid:aa5fd4f6261540f4836b688b1a5b2235', 'nomor:10141703100115', 'geometry:351fa805876fde92a3933740cb3a51b6']",nib:01177
70CA8343EF6CBF7FE053141D0B0A9195,,Kosong,3664,,03090,,,,BAROS,107.6353669,-7.0646247,320416,,3204162005,BAROS,43e7b451b2eca4fc8fbff24fa915fdad,"['nib:03090', 'persilpasifid:70ca8343ef6cbf7fe053141d0b0a9195', 'geometry:43e7b451b2eca4fc8fbff24fa915fdad']",nib:03090
7106E685400E77BAE053031D0B0AAE55,,Kosong,686,,03277,,,,BAROS,107.6366246,-7.0664969,320416,,3204162005,BAROS,dc3a317c09cf79c79eceb6f07022d265,"['nib:03277', 'persilpasifid:7106e685400e77bae053031d0b0aae55', 'geometry:dc3a317c09cf79c79eceb6f07022d265']",nib:03277
7106E685401977BAE053031D0B0AAE55,,Hak Milik,2693,2018,03288,Meteran,10141703100988,,BAROS,107.6366246,-7.0677449,320416,,3204162005,BAROS,8f7a2e0003fafb6614ccd4c374c8aef6,"['nib:03288', 'persilpasifid:7106e685401977bae053031d0b0aae55', 'nomor:10141703100988', 'geometry:8f7a2e0003fafb6614ccd4c374c8aef6']",nib:03288
7118D0ACFB6A5375E053141D0B0A151A,,Hak Milik,5388,2018,03376,Meteran,10141703100837,,BAROS,107.638511,-7.0727373,320416,,3204162005,BAROS,1d278f168fe19eef5de943abf8ea0a8d,"['nib:03376', 'persilpasifid:7118d0acfb6a5375e053141d0b0a151a', 'nomor:10141703100837', 'geometry:1d278f168fe19eef5de943abf8ea0a8d']",nib:03376
7118D0ACFB685375E053141D0B0A151A,,Hak Milik,2384,2018,03374,Meteran,10141703102941,,BAROS,107.638511,-7.0733613,320416,,3204162005,BAROS,93f6d34299e9b819ac8b58df55a107d5,"['nib:03374', 'persilpasifid:7118d0acfb685375e053141d0b0a151a', 'nomor:10141703102941', 'geometry:93f6d34299e9b819ac8b58df55a107d5']",nib:03374
7118CF45F1038A87E053031D0B0AC6F1,,Kosong,4254,,03359,,,,BAROS,107.638511,-7.0721132,320416,,3204162005,BAROS,0c3a2412ce76b51d2b5fafbed4bb74fc,"['nib:03359', 'persilpasifid:7118cf45f1038a87e053031d0b0ac6f1', 'geometry:0c3a2412ce76b51d2b5fafbed4bb74fc']",nib:03359
7c92f3a81c69415db3da2f2c75bb6f7f,,Hak Milik,11142,2005,01382,,10141703100148,,BAROS,107.638511,-7.0758574,320416,,3204162005,BAROS,66be57fbbc34d34103304c8ef20c7a21,"['nib:01382', 'persilpasifid:7c92f3a81c69415db3da2f2c75bb6f7f', 'nomor:10141703100148', 'geometry:66be57fbbc34d34103304c8ef20c7a21']",nib:01382
696cde294b7a47e8a767871c5662e95d,,Hak Milik,17150,2005,01385,,10141703100151,,BAROS,107.6403975,-7.092082,320416,,3204162005,BAROS,058137ed2aae82c0dc85cd1313f1d4e3,"['nib:01385', 'persilpasifid:696cde294b7a47e8a767871c5662e95d', 'nomor:10141703100151', 'geometry:058137ed2aae82c0dc85cd1313f1d4e3']",nib:01385
0d384e1a6e744300bb08ddbb6ee927cb,,Hak Milik,12125,2003,01360,,10141703100132,,BAROS,107.6403975,-7.0858418,320416,,3204162005,BAROS,716e1b3bcdb3017a385680dc5111973a,"['nib:01360', 'persilpasifid:0d384e1a6e744300bb08ddbb6ee927cb', 'nomor:10141703100132', 'geometry:716e1b3bcdb3017a385680dc5111973a']",nib:01360
f3b7bae08cb849188a49c955583cb68e,,Hak Milik,9535,2003,01370,,10141703100129,,BAROS,107.6403975,-7.0864658,320416,,3204162005,BAROS,7d8616bfe37c2401e245928b69d90c42,"['nib:01370', 'persilpasifid:f3b7bae08cb849188a49c955583cb68e', 'nomor:10141703100129', 'geometry:7d8616bfe37c2401e245928b69d90c42']",nib:01370
770a3a018dc44d35a738e8a06a343109,,Hak Milik,20500,2005,01384,,10141703100150,,BAROS,107.6410263,-7.0914579,320416,,3204162005,BAROS,9bb6e9d400f5916ccde1e85aaca50caa,"['nib:01384', 'persilpasifid:770a3a018dc44d35a738e8a06a343109', 'nomor:10141703100150', 'geometry:9bb6e9d400f5916ccde1e85aaca50caa']",nib:01384
4f6c901b4d9f49079cd209d86e12d50e,,Hak Milik,12000,2003,01361,,10141703100134,,BAROS,107.6410263,-7.0852178,320416,,3204162005,BAROS,16cb657b628a0f2e562bc9269bd16fff,"['nib:01361', 'persilpasifid:4f6c901b4d9f49079cd209d86e12d50e', 'nomor:10141703100134', 'geometry:16cb657b628a0f2e562bc9269bd16fff']",nib:01361
a369e5e4922246f798996cb7ba14e0d6,,Hak Milik,9880,2019,01407,,10141703100045,,BAROS,107.6410263,-7.0870899,320416,,3204162005,BAROS,ce1baa3c6498fa9d908e556e2eb1ecd5,"['nib:01407', 'persilpasifid:a369e5e4922246f798996cb7ba14e0d6', 'nomor:10141703100045', 'geometry:ce1baa3c6498fa9d908e556e2eb1ecd5']",nib:01407
36abd90190fc461fbd9cda75d6e52fc1,,Hak Milik,20390,2005,01381,,10141703100147,,BAROS,107.6410263,-7.0902099,320416,,3204162005,BAROS,892c223f2fa3b4ffa790667f1b2304b2,"['nib:01381', 'persilpasifid:36abd90190fc461fbd9cda75d6e52fc1', 'nomor:10141703100147', 'geometry:892c223f2fa3b4ffa790667f1b2304b2']",nib:01381
72492B6784BE4236E053141D0B0A93EA,,Hak Milik,3584,2018,03616,Meteran,10141703101075,,BAROS,107.6281355,-7.0540158,320416,,3204162005,BAROS,25733abc48a54906850097003033d879,"['nib:03616', 'persilpasifid:72492b6784be4236e053141d0b0a93ea', 'nomor:10141703101075', 'geometry:25733abc48a54906850097003033d879']",nib:03616
708953C98D1B2540E053021D0B0AAA59,,Hak Milik,2064,2018,03032,Meteran,10141703100799,,BAROS,107.6337949,-7.0615045,320416,,3204162005,BAROS,d59797eedc5af458fb89ccc0ae90166d,"['nib:03032', 'persilpasifid:708953c98d1b2540e053021d0b0aaa59', 'nomor:10141703100799', 'geometry:d59797eedc5af458fb89ccc0ae90166d']",nib:03032
708953C98D0D2540E053021D0B0AAA59,,Hak Milik,2140,2018,03018,Meteran,10141703102576,,BAROS,107.6344237,-7.0621285,320416,,3204162005,BAROS,0a982d24e3dfabd3f7913efa7a127413,"['nib:03018', 'persilpasifid:708953c98d0d2540e053021d0b0aaa59', 'nomor:10141703102576', 'geometry:0a982d24e3dfabd3f7913efa7a127413']",nib:03018
7375EA1C279E5439E053031D0B0AFC49,,Hak Milik,1986,2018,05198,Meteran,10141703102633,,BAROS,107.6388254,-7.0764815,320416,,3204162005,BAROS,75ef05c6dd9beb93880a1f994f34d1d8,"['nib:05198', 'persilpasifid:7375ea1c279e5439e053031d0b0afc49', 'nomor:10141703102633', 'geometry:75ef05c6dd9beb93880a1f994f34d1d8']",nib:05198
9544411f29e1442ea1de19020de6b2de,,Hak Milik,11530,2000,,,10141703100118,,BAROS,107.6419695,-7.09333,320416,,3204162005,BAROS,9866713dca6d7c8a0c926d4f7c8acb4e,"['persilpasifid:9544411f29e1442ea1de19020de6b2de', 'nomor:10141703100118', 'geometry:9866713dca6d7c8a0c926d4f7c8acb4e']",persilpasifid:9544411f29e1442ea1de19020de6b2de
714010F3301C26A3E053031D0B0AF9B5,,Hak Milik,1394,2018,03534,Meteran,10141703100943,,BAROS,107.6309652,-7.0562,320416,,3204162005,BAROS,cc59f34d34650c74a6fa17a9b9781993,"['nib:03534', 'persilpasifid:714010f3301c26a3e053031d0b0af9b5', 'nomor:10141703100943', 'geometry:cc59f34d34650c74a6fa17a9b9781993']",nib:03534
7079690C16A26B02E053031D0B0AD00E,,Kosong,331,,02837,,,,BAROS,107.6322228,-7.0599443,320416,,3204162005,BAROS,6603ef0e39ce212edd18acd1b6064736,"['nib:02837', 'persilpasifid:7079690c16a26b02e053031d0b0ad00e', 'geometry:6603ef0e39ce212edd18acd1b6064736']",nib:02837
708953C98D0E2540E053021D0B0AAA59,,Hak Milik,1050,2018,03019,Meteran,10141703101354,,BAROS,107.6341093,-7.0618165,320416,,3204162005,BAROS,b2987d2eb9fe4c93524b0d00259d13f6,"['nib:03019', 'persilpasifid:708953c98d0e2540e053021d0b0aaa59', 'nomor:10141703101354', 'geometry:b2987d2eb9fe4c93524b0d00259d13f6']",nib:03019
70CA60AA8F7829C8E053131D0B0A4BEB,,Hak Milik,1373,2018,03053,Meteran,10141703100868,,BAROS,107.6347381,-7.0624406,320416,,3204162005,BAROS,f2d4bf1340a8e70b8bb6384d423e9a1c,"['nib:03053', 'persilpasifid:70ca60aa8f7829c8e053131d0b0a4beb', 'nomor:10141703100868', 'geometry:f2d4bf1340a8e70b8bb6384d423e9a1c']",nib:03053
7118D0ACFB695375E053141D0B0A151A,,Hak Milik,2788,2018,03375,Meteran,10141703100835,,BAROS,107.638511,-7.0730493,320416,,3204162005,BAROS,a44e8d4a2c1d7a269f2eb6462104f4fa,"['nib:03375', 'persilpasifid:7118d0acfb695375e053141d0b0a151a', 'nomor:10141703100835', 'geometry:a44e8d4a2c1d7a269f2eb6462104f4fa']",nib:03375
737714DDF5A49BF2E053141D0B0AC45E,,Hak Milik,3497,2018,05203,Meteran,10141703102455,,BAROS,107.6391399,-7.0780415,320416,,3204162005,BAROS,aee5cee5b5a5cee02f1b202f2fa99943,"['nib:05203', 'persilpasifid:737714ddf5a49bf2e053141d0b0ac45e', 'nomor:10141703102455', 'geometry:aee5cee5b5a5cee02f1b202f2fa99943']",nib:05203
746A300DDD508F1FE053131D0B0A6B5C,,Hak Milik,2742,2018,05442,Meteran,10141703102646,,BAROS,107.6403975,-7.0824097,320416,,3204162005,BAROS,74231679e8ed7a5aaa57214c3a72167b,"['nib:05442', 'persilpasifid:746a300ddd508f1fe053131d0b0a6b5c', 'nomor:10141703102646', 'geometry:74231679e8ed7a5aaa57214c3a72167b']",nib:05442
75bea59ebd7744579d157b04a41997b7,,Hak Milik,2085,2003,,,10141703100127,,BAROS,107.6410263,-7.0874019,320416,,3204162005,BAROS,c3ef2bcbf6ddef1e8fbd0b2a649a6965,"['persilpasifid:75bea59ebd7744579d157b04a41997b7', 'nomor:10141703100127', 'geometry:c3ef2bcbf6ddef1e8fbd0b2a649a6965']",persilpasifid:75bea59ebd7744579d157b04a41997b7
8fb9bc67925a4d6f83bc8c32cc211fba,,Hak Milik,8535,2003,01371,,10141703100128,,BAROS,107.6410263,-7.0867778,320416,,3204162005,BAROS,a157e334eedda406d3d11cd99598c876,"['nib:01371', 'persilpasifid:8fb9bc67925a4d6f83bc8c32cc211fba', 'nomor:10141703100128', 'geometry:a157e334eedda406d3d11cd99598c876']",nib:01371
72492B6784C44236E053141D0B0A93EA,,Hak Milik,661,2018,03622,Meteran,10141703102685,,BAROS,107.6275067,-7.0537038,320416,,3204162005,BAROS,5ab9322d1525b4ede765302264755053,"['nib:03622', 'persilpasifid:72492b6784c44236e053141d0b0a93ea', 'nomor:10141703102685', 'geometry:5ab9322d1525b4ede765302264755053']",nib:03622
