persilpasifid,nilai,tipehak,luas,tahun,nib,alatukur,nomor,akurasibidang,sample_source,sample_lon,sample_lat,kecamatan_id,kecamatan_nama,kelurahan_id,kelurahan_nama,geometry_hash,source_key
86669D8A8F3B6ACAE0530C1D140AC9BC,,Hak Milik,2075,2019,02534,Meteran,10143410101614,,Soreang,107.4937736,-7.0634017,320437,Soreang,,,3e38d5a30e4512e751d840215076b5af,3e38d5a30e4512e751d840215076b5af
86669D8A8F436ACAE0530C1D140AC9BC,,Hak Milik,1639,2019,02542,Meteran,10143410100795,,Soreang,107.4937736,-7.061797,320437,Soreang,,,998039985a11b9b17a92a11f4e215140,998039985a11b9b17a92a11f4e215140
31b9a5ba375c428f96c8e06c3644dd07,,Hak Milik,3655,2000,01352,,10143410100063,,Soreang,107.4937736,-7.0658087,320437,Soreang,,,9665d708038c458026cf71ee28d664d9,9665d708038c458026cf71ee28d664d9
1FEA93A4FE7E6922E053141D0B0AE262,,Hak Milik,6021,2016,01394,,10143410100143,,Soreang,107.494582,-7.064204,320437,Soreang,,,8b9ac76672ede423bf97c8e702d6cc41,8b9ac76672ede423bf97c8e702d6cc41
0D1B48B1CCF8F70EE063B416140A4AD8,,Kosong,1203,,,,,0.5,Soreang,107.494582,-7.036121,320437,Soreang,,,823cb4be6df688a64221ed33f406d440,823cb4be6df688a64221ed33f406d440
86669D8A8F3E6ACAE0530C1D140AC9BC,,Hak Milik,4412,2019,02537,Meteran,10143410100722,,Soreang,107.494582,-7.0625993,320437,Soreang,,,ca5dcf74c47c766a0fe3d25fb0b5d575,ca5dcf74c47c766a0fe3d25fb0b5d575
0D1B48B1CCF7F70EE063B416140A4AD8,,Kosong,1220,,,,,0.5,Soreang,107.4953905,-7.036121,320437,Soreang,,,84e13a24574cd1e8db141087e63ec4f7,84e13a24574cd1e8db141087e63ec4f7
86669D8A8F056ACAE0530C1D140AC9BC,,Hak Milik,961,2019,02398,Meteran,10143410100827,,Soreang,107.4937736,-7.066611,320437,Soreang,,,1f4e3f3b0d7546f2a247372696190de1,1f4e3f3b0d7546f2a247372696190de1
8666A5700D1F6AD4E0530C1D140A135B,,Hak Milik,220,2019,02436,Meteran,10143410100662,,Soreang,107.4929651,-7.0658087,320437,Soreang,,,150b0e35a2a6a533b3be0888e2f45aa7,150b0e35a2a6a533b3be0888e2f45aa7
86669D8A8F386ACAE0530C1D140AC9BC,,Hak Milik,1837,2019,02531,Meteran,10143410100828,,Soreang,107.4929651,-7.0634017,320437,Soreang,,,0f59174e009204cadd5a777a959a8474,0f59174e009204cadd5a777a959a8474
EFB546596A3F12F6E0530B1D140AC7CF,,Hak Pakai,7941,2022,,Meteran,10143410400005,,Soreang,107.494582,-7.0634017,320437,Soreang,,,bb6dee360d898055017b0bc4d0591597,bb6dee360d898055017b0bc4d0591597
8B3131039002C9F0E0530B1D140A0166,,Hak Milik,5038,2019,03323,Meteran,10143410101679,,Soreang,107.4953905,-7.0658087,320437,Soreang,,,8e53dc9352203280ad8b40bfd3bcc282,8e53dc9352203280ad8b40bfd3bcc282
a3cbbbae211a4e69b40edea7f7066ab4,,Hak Milik,502,2001,01153,,10143410100065,,Soreang,107.4953905,-7.0634017,320437,Soreang,,,7739e07339aa670db9044e2afd95887d,7739e07339aa670db9044e2afd95887d
